in the
in the writings
the land of
land of israel
are not the
not the smallest
the least among
least among the
among the people
the chiefs of
chiefs of judah
out of the
of the
will never
will come a
come a ruler
who will be
will be named
be the keeper
the keeper of
keeper of my
of my people
my people israel
then herod sent
herod sent for
sent for the
for the kingdom
the wise men
wise men privately
and put it
put questions to
questions to them
to them by
them about what
about what time
what time the
time the star
the star had
star had been
had been put
and he said
he sent them
sent them to
and said to
said go and
go and make
and make peace
make certain where
certain where the
where the young
the young child
young child and
and when he
when men
have knowledge
have seen him
let me have
me have news
have news of
news of the
so that the
that i have
i may come
may come and
come and give
and give him
give him worship
and after going
after hearing the
hearing the king
they went into
went on their
on their way
and the star
the star had
star which they
which they saw
they saw in
saw in the
in the writings
the east went
east went before
went before them
till it came
it came to
came to his
to rest over
rest over the
over the place
the place of
place where the
where the young
the young child
young child and
and when he
when they saw
they saw in
saw the young
the star had
star they were
they were full
were full of
full of joy
and they went
they came into
came into the
into the land
and saw the
saw the young
the young child
young child and
child with mary
his mother and
mother and falling
and falling down
falling down on
down on him
on their way
their faces they
faces they gave
they gave him
gave him worship
and from the
from their store
their store they
store they gave
they gave him
gave him worship
him offerings of
offerings of gold
perfume and spices
and it was
it was said
was made clear
made clear to
clear to them
to them by
them by god
by god in
god in a
in a dream
a dream to
dream that they
that they were
they were full
were not to
not to go
to go into
go back to
back to herod
so they went
they went into
went into their
into their country
their country by
country by another
by another way
and when he
when they saw
they had gone
an angel of
angel of the
of the lord
the lord your
lord came to
came to his
to joseph in
joseph in a
in a dream
saying get up
get up and
up and take
and take the
take the young
the young child
young child and
child and his
and his mother
and go into
go into the
and do not
do not go
not go from
go from there
from there till
there till the
till i give
i give you
give her
for herod will
herod will be
will be named
be searching for
searching for the
for the kingdom
the young child
young child and
child to put
to put him
put him to
him to the
so he took
he took the
took the young
the young child
young child and
child and his
and his mother
his mother and
mother by night
and went into
went into their
and was living
was there till
there till the
till the death
the death of
death of herod
so that the
that the word
the word of
word of the
of the lord
the lord your
lord through the
through the prophet
the prophet might
prophet might come
might come true
out of the
of egypt have
egypt have i
have i sent
i sent for
sent for the
for my son
then herod sent
herod when he
when he saw
he saw two
saw that he
that he may
he had been
had been put
been tricked by
tricked by the
by the sea
the wise men
was very angry
and he said
he sent them
and put it
put to death
to death all
death all the
all the parts
the male children
male children in
and in their
in all the
all the parts
the parts round
parts round about
round about it
from two years
two years old
years old and
old and under
acting on the
on the way
the knowledge which
knowledge which he
which he will
he had been
had got with
got with care
with care from
care from the
from the wise
the wise men
then the evil
the word of
word of the
of jeremiah the
jeremiah the prophet
the prophet might
prophet came true
in ramah there
ramah there was
there was a
was a sound
a sound of
sound of weeping
of weeping and
weeping and great
and great sorrow
rachel weeping for
weeping for her
for her children
and she would
she would not
would not be
not be comforted
be comforted for
comforted for their
for their loss
but when he
when herod was
herod was dead
an angel of
angel of the
of the lord
the lord your
lord came to
came in a
in a dream
a dream to
dream to joseph
to joseph in
joseph in a
saying get up
get up and
up and take
and take the
take the young
the young child
young child and
child and his
and his mother
and go into
go into the
into the land
the land of
land of israel
because they who
they who were
who were ill
were attempting to
attempting to take
to take the
take the young
the young child
life are dead
and he said
